DOF_linear,u_linear,u/w_linear,dof_quadratic,u_quadratic,u/w_quadratic,dof_iga,u_iga,u/w_iga
387,0.0112,0.037037037,660,0.17846,0.590145503,75,0.2799,0.925595238
687,0.0152,0.05026455,1179,0.1881,0.62202381,147,0.2984,0.986772487
1599,0.0218,0.072089947,2763,0.2334,0.771825397,363,0.303,1.001984127
1599,0.0218,0.072089947,2763,0.233,0.770502646,1083,0.3076,1.017195767
2637,0.0261,0.086309524,4569,0.249,0.823412698,,,
6024,0.03466,0.114616402,10482,0.272,0.899470899,,,
6027,0.03466,0.114616402,10482,0.272,0.899470899,,,
7281,0.0377,0.124669312,12669,0.278,0.919312169,,,
10947,0.04453,0.147255291,19071,0.2856,0.944444444,,,
24849,0.06952,0.22989418,43356,0.29542,0.976917989,,,
38019,0.0872,0.288359788,66372,0.29861,0.987466931,,,
67605,0.12017,0.397387566,118095,0.30138,0.996626984,,,
97359,0.1438,0.475529101,170121,0.30265,1.00082672,,,
